"","targetRisk","targetReturn"
"1",0.0113326571350727,-0.000287443349219568
"2",0.0107101665880414,-0.000246500270709754
"3",0.0102639256277115,-0.00020555719219994
"4",0.00991351344275196,-0.000164614113690125
"5",0.00963407080656357,-0.000123671035180311
"6",0.00939220850006915,-8.27279566704971e-05
"7",0.00918103059581979,-4.1784878160683e-05
"8",0.00900191877288451,-8.41799650868838e-07
"9",0.00885340665274288,4.01012788589454e-05
"10",0.0087388367253247,8.10443573687595e-05
"11",0.00867699231905877,0.000121987435878574
"12",0.00867275346060664,0.000162930514388388
"13",0.00872620409813238,0.000203873592898202
"14",0.00883629740481829,0.000244816671408016
"15",0.00900070747722777,0.00028575974991783
"16",0.00920401907010141,0.000326702828427645
"17",0.00943684794733136,0.000367645906937459
"18",0.00969706819123226,0.000408588985447273
"19",0.00998253795464159,0.000449532063957087
"20",0.0102911562378776,0.000490475142466901
"21",0.0106245315607582,0.000531418220976715
"22",0.0109928030555054,0.000572361299486529
"23",0.0113936336058342,0.000613304377996344
"24",0.0118237123639802,0.000654247456506158
"25",0.0122799666523801,0.000695190535015973
"26",0.012760870772081,0.000736133613525787
"27",0.0132685699798497,0.000777076692035601
"28",0.0138011592018301,0.000818019770545415
"29",0.0143558685168825,0.000858962849055229
"30",0.0149302326167227,0.000899905927565043
"31",0.0155220697930576,0.000940849006074858
"32",0.0161294567449535,0.000981792084584672
"33",0.0167507020351318,0.00102273516309449
"34",0.0173882034986013,0.0010636782416043
"35",0.0180515074590636,0.00110462132011411
"36",0.0187451794885588,0.00114556439862393
"37",0.0194794105386454,0.00118650747713374
"38",0.0202502126077579,0.00122745055564356
"39",0.0210535693229725,0.00126839363415337
"40",0.0218858960672514,0.00130933671266319
"41",0.0227652397783542,0.001350279791173
"42",0.0237454112920298,0.00139122286968281
"43",0.0248180444854158,0.00143216594819263
"44",0.0259716858544688,0.00147310902670244
"45",0.0271960283783693,0.00151405210521226
"46",0.0284819559086389,0.00155499518372207
"47",0.0298215027219781,0.00159593826223188
"48",0.0312077649985218,0.0016368813407417
"49",0.0326347892529119,0.00167782439424998
