"","AAPL","AMZN","CSPX.CL","GRUPOSURA.CL","ICOLCAP.CL","IUFS.CL","IUIT.CL","NU","PFGRUPSURA.CL","UBER","VOO"
"1",0.105337550109793,0,0,0.0775993623743384,0.817063087515869,0,0,0,0,0,0
"2",0.176731740252345,0,0,0.0751806647283475,0.718265928300262,0.0241288036909031,0,0,0.00569286302814222,0,0
"3",0.185510413044045,0,0,0.0721782177469396,0.647016802570729,0.08034429537407,0,0,0.0149502712642166,0,0
"4",0.180696193998323,0,0.0308292211863928,0.06941503025998,0.590911945195209,0.107557062874241,0,0,0.0205905464858537,0,0
"5",0.162035015690973,0,0.0544954941096843,0.0665829134860939,0.543816403880867,0.12386417734801,0,0,0.0241972411966046,0,0.0250087542877665
"6",0.124371944765075,0,0.0633071387030731,0.0636154700209936,0.508247957376154,0.12763418290294,0,0,0.0252284251079914,0,0.0875948811237723
"7",0.086708873839177,0,0.0721187832964619,0.0606480265558935,0.472679510871442,0.13140418845787,0,0,0.0262596090193781,0,0.150181007959778
"8",0.0517578626680139,0,0.0792206056635492,0.0577404808995505,0.439213521781929,0.132712174740108,0.00536660835343205,0,0.027326122085011,0,0.206662623808407
"9",0.0187176023322003,0,0.085117792239887,0.054875135562695,0.407228795137082,0.132285573363011,0.0145141995470876,0,0.0284175259042012,0,0.258843375913836
"10",0,0,0.0917523978313963,0.0516260160782395,0.369671181337531,0.133310509836251,0.0264256885283075,0,0.0298143043815823,0,0.297399902006693
"11",0,0,0.0993507013534644,0.0478753603650797,0.324830625672186,0.13623239227063,0.0419491844192385,0,0.0316101625139343,0,0.318151573405467
"12",0,0,0.106949004875532,0.0441247046519198,0.279990070006841,0.139154274705009,0.0574726803101695,0,0.0334060206462864,0,0.338903244804242
"13",0,0,0.114547308397601,0.0403740489387599,0.235149514341497,0.142076157139388,0.0729961762011004,0,0.0352018787786384,0,0.359654916203016
"14",0,0,0.122145611919669,0.0366233932256001,0.190308958676152,0.144998039573767,0.0885196720920314,0,0.0369977369109904,0,0.380406587601791
"15",0,0,0.129528674845249,0.0332533351368874,0.148156210022015,0.147816401106432,0.103120035994063,0,0.0386492873565677,0.00194620002756388,0.397529855511222
"16",0,0,0.135750684271457,0.0319363014818915,0.120502063336668,0.1500763489051,0.112740829854086,0,0.0395224114855012,0.0143906164202274,0.395080744245069
"17",0,0,0.141972693697665,0.0306192678268956,0.0928479166513203,0.152336296703768,0.12236162371411,0,0.0403955356144347,0.0268350328128909,0.392631632978917
"18",0,0,0.148194703123873,0.0293022341718996,0.0651937699659728,0.154596244502435,0.131982417574133,0,0.0412686597433682,0.0392794492055544,0.390182521712764
"19",0,0,0.154416712550081,0.0279852005169038,0.0375396232806253,0.156856192301103,0.141603211434156,0,0.0421417838723017,0.0517238655982177,0.387733410446611
"20",0,0,0.160638721976289,0.0266681668619078,0.00988547659527786,0.15911614009977,0.15122400529418,0,0.0430149080012352,0.0641682819908812,0.385284299180459
"21",0,0,0.166141952445614,0.0226609516653766,0,0.156545206657767,0.163678336691619,0,0.0381729782564736,0.0816990680385957,0.371101506244554
"22",0,0,0.171245295218256,0.0171570725918591,0,0.151286645880846,0.177709087081924,0,0.03015151785338,0.102059620631868,0.350390760741867
"23",0,0,0.176348637990898,0.0116531935183415,0,0.146028085103924,0.191739837472229,0,0.0221300574502864,0.122420173225141,0.32968001523918
"24",0,0,0.18145198076354,0.00614931444482389,0,0.140769524327003,0.205770587862534,0,0.0141085970471928,0.142780725818413,0.308969269736493
"25",0,0,0.186555323536182,0.000645435371306263,0,0.135510963550081,0.219801338252839,0,0.00608713664409927,0.163141278411686,0.288258524233806
"26",0,0,0.191361234948257,0,0,0.128041929653583,0.234736048618995,0,0,0.186188633922085,0.25967215285708
"27",0,0,0.195691206856841,0,0,0.118079832237773,0.250848042525997,0,0,0.211225474263028,0.224155444116361
"28",0,0,0.200021178765426,0,0,0.108117734821964,0.266960036432999,0,0,0.23626231460397,0.188638735375642
"29",0,0,0.20435115067401,0,0,0.0981556374061541,0.283072030340001,0,0,0.261299154944912,0.153122026634922
"30",0,0,0.208681122582594,0,0,0.0881935399903445,0.299184024247004,0,0,0.286335995285855,0.117605317894203
"31",0,0,0.213011094491178,0,0,0.0782314425745348,0.315296018154006,0,0,0.311372835626797,0.0820886091534836
"32",0,0,0.217341066399763,0,0,0.0682693451587252,0.331408012061008,0,0,0.33640967596774,0.0465719004127648
"33",0,0,0.221671038308347,0,0,0.0583072477429156,0.34752000596801,0,0,0.361446516308682,0.0110551916720455
"34",0,0,0.21427703203141,0,0,0.0351683599431891,0.364472376850097,0,0,0.386082231175305,0
"35",0,0,0.201584465340744,0,0,0.00607432459854103,0.381804549545384,0,0,0.410536660515331,0
"36",0,0,0.168019142747052,0,0,0,0.392090792848496,0,0,0.439890064404452,0
"37",0,0,0.128946023117183,0,0,0,0.4005177920152,0,0,0.470536184867618,0
"38",0,0,0.089872903487313,0,0,0,0.408944791181904,0,0,0.501182305330783,0
"39",0,0,0.0507997838574432,0,0,0,0.417371790348609,0,0,0.531828425793949,0
"40",0,0,0.0117266642275733,0,0,0,0.425798789515313,0,0,0.562474546257114,0
"41",0,0,0,0,0,0,0.393870222477349,0,0,0.606129777522652,0
"42",0,0,0,0,0,0,0.34463644466768,0,0,0.65536355533232,0
"43",0,0,0,0,0,0,0.295402666858011,0,0,0.704597333141989,0
"44",0,0,0,0,0,0,0.246168889048343,0,0,0.753831110951657,0
"45",0,0,0,0,0,0,0.196935111238675,0,0,0.803064888761326,0
