"","targetRisk","targetReturn"
"1",0.0116307294648558,-0.000197802615053813
"2",0.0109374308671719,-0.000147532832362993
"3",0.0104015345597385,-9.72630496721734e-05
"4",0.00998155817716751,-4.6993266981353e-05
"5",0.0096184779285445,3.27651570946714e-06
"6",0.00930624104436116,5.35462984002872e-05
"7",0.0090482654606704,0.000103816081091107
"8",0.00884860987049755,0.000154085863781927
"9",0.00871544136234566,0.000204355646472748
"10",0.00865433606051145,0.000254625429163568
"11",0.00866681834144553,0.000304895211854388
"12",0.0087525733751011,0.000355164994545208
"13",0.00890557951330283,0.000405434777236028
"14",0.0090970585811623,0.000455704559926848
"15",0.00932007307097144,0.000505974342617668
"16",0.00957241913651947,0.000556244125308488
"17",0.00985184313009348,0.000606513907999308
"18",0.0101560975000919,0.000656783690690129
"19",0.0104824610379437,0.000707053473380949
"20",0.0108336679832617,0.000757323256071769
"21",0.0112165256247318,0.000807593038762589
"22",0.0116281140636264,0.000857862821453409
"23",0.0120654933894505,0.000908132604144229
"24",0.0125259622086594,0.000958402386835049
"25",0.0130070685491535,0.00100867216952587
"26",0.0135066072608824,0.00105894195221669
"27",0.0140226085884469,0.00110921173490751
"28",0.0145541973612954,0.00115948151759833
"29",0.0151098229808302,0.00120975130028915
"30",0.0156897674112835,0.00126002108297997
"31",0.0162914337477089,0.00131029086567079
"32",0.0169125038631028,0.00136056064836161
"33",0.0175523323420733,0.00141083043105243
"34",0.0182117417922195,0.00146110021374325
"35",0.0188924016030522,0.00151136999643407
"36",0.0195985504209641,0.00156163977912489
"37",0.0203295765831959,0.00161190956181571
"38",0.0210889873170923,0.00166217934450653
"39",0.0218742919352324,0.00171244912719735
"40",0.0226994582360987,0.00176271890988817
"41",0.0236091052048046,0.00181298869257899
"42",0.0245970948248129,0.00186325847526981
"43",0.0256543774034824,0.00191352825796063
"44",0.0267727448534875,0.00196379804065145
"45",0.0279448641955858,0.00201406782334227
"46",0.0291642552402713,0.00206433760603309
"47",0.0304252348128952,0.00211460738872391
"48",0.0317228438827621,0.00216487717141473
"49",0.0330619851323597,0.00221514692109729
